class,surrounding,ringName,ringRadius,ringTubeRadius,r,g,b
Ring,saturn,dRing,8.76176,0.894873,6,6,6
Ring,saturn,cRing,10.8155,4.07267,40,38,39
Ring,saturn,bRing,13.81785,3.00235,135,125,116
Ring,saturn,aRing,16.0842,1.698024,89,80,77
Ring,saturn,fRing,16.44238,1,26,26,26
Ring,saturn,gRing,20.34337,1.64428,22,22,22
Ring,saturn,eRing,56.44403,35.27751646,70,70,70
Ring,jupiter,haloRing,14.463781,3.95108,49,49,49
Ring,jupiter,mainRing,15.16228,1.39698,49,49,49
Ring,jupiter,amaltheaRing,21.325258,6.16298,49,49,49
Ring,jupiter,thebeRing,26.0936,4.76834,49,49,49
Ring,uranus,6Ring,4.91956,1,168,150,163
Ring,uranus,5Ring,4.96636,1,151,133,148
Ring,uranus,4Ring,5.0058,1,146,161,175
Ring,uranus,alphaRing,5.2584,1,161,180,206
Ring,uranus,betaRing,5.36923,1,164,183,208
Ring,uranus,etaRing,5.5475,1,174,191,221
Ring,uranus,gammaRing,5.60042,1,177,196,227
Ring,uranus,deltaRing,5.6796,1,168,182,202
Ring,uranus,lambdaRing,5.8824,1,195,200,209
Ring,uranus,epsilonRing,6.0145,1,233,239,252
Ring,uranus,nuRing,7.9139,1,38,38,47
Ring,uranus,muRing,11.488,1,33,26,27
Ring,neptune,galleRing,4.92709,1,47,39,52
Ring,neptune,leverrierRing,6.2558,1,27,22,30
Ring,neptune,lassellRing,6.3558,1,96,93,93
Ring,neptune,aragoRing,6.72624,1,44,45,50
Ring,neptune,adamsRing,7.40028,1,54,65,64
